id,name,year,position
100284,Jimmy Connors,"[1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1981, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997]","[3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 3, 4, 4, 7, 2, 16, 47, 33, 83, 368, 408, 412, 1294]"
100360,Brian Teacher,"[1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1982, 1983, 1984, 1985, 1986, 1987, 1981]","[140, 116, 109, 81, 48, 25, 25, 17, 12, 17, 27, 44, 39, 92, 7]"
100437,Bjorn Borg,"[1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1982, 1983, 1984, 1985, 1981, 1991, 1992, 1993, 1994]","[17, 3, 2, 2, 1, 2, 1, 1, 4, 262, 281, 736, 1, 1018, 747, 739, 1120]"
100581,John McEnroe,"[1976, 1977, 1978, 1979, 1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1981, 1990, 1991, 1992, 1993, 1994, 1995]","[264, 18, 4, 2, 1, 1, 1, 1, 1, 2, 7, 10, 4, 1, 4, 12, 17, 20, 1157, 1211]"
100676,Yannick Noah,"[1977, 1978, 1979, 1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1981, 1990, 1991, 1992, 1995, 1996, 1997]","[269, 38, 22, 12, 9, 4, 5, 5, 3, 4, 7, 12, 12, 9, 42, 182, 530, 542, 1298]"
100532,Johan Kriek,"[1978, 1979, 1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1981, 1990, 1991, 1992, 1993, 1994, 1995]","[27, 25, 17, 8, 12, 7, 10, 13, 17, 39, 30, 12, 81, 264, 265, 1096, 803, 857]"
100656,Ivan Lendl,"[1978, 1979, 1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1981, 1990, 1991, 1992, 1993, 1994, 1995]","[70, 21, 6, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 4, 6, 15, 55]"
101062,Mats Wilander,"[1979, 1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1981, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997]","[480, 283, 7, 4, 3, 3, 2, 2, 1, 1, 68, 9, 43, 159, 315, 116, 45, 46, 195]"
101222,Stefan Edberg,"[1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997]","[52, 17, 5, 3, 2, 2, 3, 1, 1, 1, 2, 3, 7, 14, 14]"
101414,Boris Becker,"[1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000]","[55, 5, 2, 2, 4, 2, 2, 1, 3, 3, 3, 3, 3, 6, 51, 54, 131]"
